"slug","id","phase","role","gender","spec","status"
"allik","Allik","existing","AllRounder","Male","AllRounder","pending"
"barryseal","BarrySeal","existing","mercenary","Male","","pending"
"biff","Biff","existing","Commander","Male","Leader","pending"
"blade","Blade","existing","Scout","Male","Melee","pending"
"buzz","Buzz","existing","mercenary","Male","","pending"
"colby","Colby","existing","Demolitions","Male","ExplosiveExpert","pending"
"conrad","Conrad","existing","Commander","Male","Leader","pending"
"cougar","Cougar","existing","Autorifleman","Male","Stealth","pending"
"dimitri","Dimitri","existing","Thrower","Male","ExplosiveExpert","pending"
"dynamo","Dynamo","existing","Mechanic","Male","Mechanic","pending"
"flo","Flo","existing","Support","Female","Negotiator","pending"
"gamos","Gamos","existing","Scout","Male","Stealth","pending"
"gaston","Gaston","existing","Sniper","Male","Marksmen","pending"
"grom","Grom","existing","HeavyWeapons","Male","HeavyWeapons","pending"
"henning","Henning","existing","Commander","Male","Leader","pending"
"horg","Horg","existing","HeavyWeapons","Male","HeavyWeapons","pending"
"ira","Ira","existing","Commander","Female","Leader","pending"
"lynx","Lynx","existing","Sniper","Male","Marksmen","pending"
"madman","Madman","existing","Mechanic","Male","Mechanic","pending"
"manuel","Manuel","existing","Scout","Male","Stealth","pending"
"miguel","Miguel","existing","Commander","Male","Leader","pending"
"mike","Mike","existing","AllRounder","Male","AllRounder","pending"
"monk","Monk","existing","Scout","Male","Stealth","pending"
"nervous","Nervous","existing","Autorifleman","Male","Autoriflemen","pending"
"quinten","Quinten","existing","Doctor","Male","Doctor","pending"
"rothman","Rothman","existing","Commander","Male","Leader","pending"
"spider","Spider","existing","Doctor","Female","Doctor","pending"
"spouke","Spouke","existing","Demolitions","Male","ExplosiveExpert","pending"
"vicious","Vicious","existing","AllRounder","Male","Melee","pending"
"biggens","Biggens","remaining","Demolitions","Male","ExplosiveExpert","pending"
"bull","Bull","remaining","Melee","Male","Melee","pending"
"carlos","Carlos","remaining","Scout","Male","Stealth","pending"
"cord","Cord","remaining","Mechanic","Male","Mechanic","pending"
"devin","Devin","remaining","Demolitions","Male","ExplosiveExpert","pending"
"eskimo","Eskimo","remaining","Sniper","Male","Marksmen","pending"
"grace","Grace","remaining","Thrower","Female","Melee","pending"
"highball","Highball","remaining","Doctor","Male","Doctor","pending"
"hitman","Hitman","remaining","Sniper","Male","Marksmen","pending"
"hobbit","Hobbit","remaining","Demolitions","Male","ExplosiveExpert","pending"
"kulba","Kulba","remaining","Autorifleman","Male","Autoriflemen","pending"
"laura","Laura","remaining","Doctor","Female","Doctor","pending"
"lucky","Lucky","remaining","Autorifleman","Male","Autoriflemen","pending"
"meat","Meat","remaining","Demolitions","Male","ExplosiveExpert","pending"
"ricochet","Ricochet","remaining","Melee","Male","Melee","pending"
"shank","Shank","remaining","Thrower","Male","Melee","pending"
"static","Static","remaining","Mechanic","Male","Mechanic","pending"
"steiger","Steiger","remaining","Commander","Male","Leader","pending"
"tosca","Buzz","remaining","Autorifleman","Female","Autoriflemen","pending"
"vilde","Vilde","remaining","Autorifleman","Male","Autoriflemen","pending"
"vince","Vince","remaining","Doctor","Male","Doctor","pending"
