"slug","id","gender","role","priority","prioN","appearance","backstory","bio","sheetName","status"
"blade","Blade","Male","Scout","???????","1","???????, ?????, 28 ???, ????????, ? ???????? ?????????? ?????, ? ???????? ????????????","????????, ??????, ??????, ????? ???? ???????.","????? ????? ?? ???????? '????????', ?? ???? ?? ??? ???????????? ????? ? ????????? ? ?????. ???????????? ???????? ? ????????, ? ?? ? ????????????? ??????? (????? ???? ? ??????? ??????!). ??? ???????? - ??????????? ???????? ?? ?????? ???? ??????? (??? ???? ?? ??? ???????) ??????, ??? ??? ????? ?? ???????????.  ? ????? ????? ?????? ????????? '?????????????????'. ? ?????????????, ??? ??? ????????????? ????? ??????? ????????????????? ????????????... ? ??????? ???????.","???? ""??????"" ??????","done"
"tosca","Buzz","Female","Autorifleman","???????","1","???????, ?????, 30 ???, ????????, ????????, ??????????, ?? ?? ????????. ????????? ???????????, ?? ????????? ????","????????? ???????, ?? ?? ??? ???????, ? ??? ????. ???? ????????????????, ????????, ??????????. ? ???? ????? ??????????? ??????. ?????????","?? ??????? ??? ? ????? ????? ????? ??????????. ??? ?????? ??????????? ? '?????' ?????????. ? ??? ??? ??? ??????? ???? ????? ?? ?????. ?? ??????????? ????? '??? ??????????, ??? ?????' ???? ?????????? ????? ??????????????. ??? ??? ??????? ?? ? ???????????? ???????, ??????? ??? ?????? ????????????? ???? ????, ??????? ? ???????. ??????? ????? ???????? ?????? ??????????? ?? ??????? ? ?????????????? ????? ??????????.","????? ""?????"" ?????","done"
"colby","Colby","Male","Demolitions","???????","1","???????, ?????, 28 ???, ????????, ? ??????? ?????????? ?????.","?????? ?????? ? ????????. ?? ???????? ????????? ???? ?????? ????,???????? ????? ????? - ????????, ???????, ??????????. ?????? ?????????? ??????????, ????????? ?????? ???????","????? ? ???????????? ?? ????????? - ?????? ????? ????? ?????????? ?????????? ?????? ? ??????????? ??????. ?????? ?????? ?? ??????????? ? ??????? ??????. ???? ?????? ??????? ?????????? ??????? ? ????????, ??? ??? ???????????. ???????? ?? ????????? ????, ????? ?????? ?????????.","?????? ?????","pending"
"dimitri","Dimitri","Male","Thrower","???????","1","???????, ????????? ???, 35, ????????, ? ??????? ?????????? ?????, ? ???????? ????????????","???? ? ??????????? ????????, ???????????? ?????. ?? ????? ???, ??? ???? ??????.","?????? ???????, ?????????, ????????. ???????? ????? ????? ?? ??????.","???????? ?????","pending"
"grom","Grom","Male","HeavyWeapons","???????","1","???????, ?????, 45 ???, ????????, ??????? ?????????? ?????.","""???????????"" ???????, ???????? ?????, ?? ????? ?????? ? ?????????","????? ????????? ?????, ???????, ?????????? ????? ???????. ????? ???????????? ???????? ? ???????? ?? ??????? ?????? ???????? ? ???????????.","????? ?????? ""????"" ??????","pending"
"ira","Ira","Female","Commander","???????","1","???????, ?????, 25 ???, ????????, ????? ????????? ???????.","????????? ???????? ? ??????????? ???? ????????, ???????????? ?????. ?? ?????? ??????? ? ??????? ???????, ????? ????? ????? ???????? ? ?????????","????????? ???????????? ??????, ??????????? ????????? ???????? ? ????????? ?????? ???????, ? ??????????????? ? ?????????.","???? ????","pending"
"lynx","Lynx","Male","Sniper","???????","1","???????, ?????, 35 ???,, ???????? ?????? ?????? ?????????.","???????. ???????, ????????????, ????? ?????. ??? ?? ??????-??????, ???? ??????.","???? ??????? ???????? ????? ?? ?????? ????????? A.I.M. ????? ??????????? ???? ? ??? ???? ?????????????? ??????, '????' ???????? ????? ?? ??????? ???????????, ????????, ????????? ? ?????? ????? ????? ? ???????? ?????? ??????????? ?????? ? ??????? ????????. ??????? ??????, ????? ??? ?? ?????????? ?? ??????? ?????? ? '??????' ?????.","???? ""????"" ???????","pending"
"madman","Madman","Male","Mechanic","???????","1","???????, ?????, 22 ????, ????????, ???????? ?????????? ?????, ? ???????? ????????????","? ?????? ?????????? ????????, ??????? ?? ?? ???????, ??????????? ?????????? ?????. ? ???? ????? ???? ?????????? ??? ????????? ????","?????? ???????, ??????, ????. ???????? ?? ?????? ""?? ????"". ????? ???? ?????? ???????? ???? ??????.","????? ""???????"" ???????","pending"
"mike","Mike","Male","AllRounder","???????","1","???????, ?????, 40-45 ???, ????????, ???????? ?????????? ????? ? ???????? ????????????","?????-????? ?????????? ?????, ?????????, ????????, ?????? ?? ?????","???? ???????? ??????? ?????????? ?? ?????????? ?????????, ????? ? ???, ??? ?????? ???????????? ?????????? ?? ??? ?????????? ??????????. ?? ?? ?????, ??? ?? ??????, ?? ????? ????, ?? ????? ?????? ?? ????? ? ???. ????????? ??????, ?????????? ?? ????, ???? ? ?????? ?????-?? ????????? ??????, ???????? ??????? ?? ??????; ? ?????? ???? ??????, ? ??????? ??  ?? ????? ??????????.","????","pending"
"spider","Spider","Female","Doctor","???????","1","???????, ?????, 35 ???, ????????, ? ?????? ?????????? ?????","??????? ?????, ???????? ????????? ????????????? ? ???????????? ????????. ?????? ????????, ?? ?????? ???????. ????? ??????, ?????. ???????? ????? ? ?????????? ????????? ????????  - ??? ?? ?????, ????????, ? ? ???? ?????? ? ????????? ?????????","??????? ?????? ???????? ???????? ?????, ?????? ??????? ?? ????? ???? ?????? ? ???????? ??????????? ?????? ? ????? ????????. ? ????? ?????? ???? ??? ??? ?????????? ??????????? ?????? ??????? ????? ???????????? ?? ?? ???????, ????????? ? ??????????? ??????. '????' ???????? ???? ???????? ????????? ???????? ?????, ??????? ????? ?? ??????.","?????? ????? ""????"" ???????","pending"
