"sheetName","slug","id","priority"
"Руди ""Рысь"" Робертс","lynx","Lynx","высокий"
"Луиза ""Тоска"" Гарно","tosca","Buzz","высокий"
"Тревор Колби","colby","Colby","высокий"
"Доктор Донна ""Паук"" Хьюстон","spider","Spider","высокий"
"Билл ""Бритва"" Ламонт","blade","Blade","высокий"
"Айра Смит","ira","Ira","Высокий"
"Димитрий Газзо","dimitri","Dimitri","Высокий"
"Кевин ""Бешеный"" Камерон","madman","Madman","высокий"
"Игорь ""Игги"" Палкин","","","высокий"
"Майк","mike","Mike","Высокий"
"Майор Сергей ""Гром"" Громов","grom","Grom","Высокий"
"Кирк ""Статик"" Стивенсон""","static","Static","низкий"
"Клиффорд ""Скала"" Хайбол","highball","Highball","низкий"
"Джон ""Бык"" Питерс","bull","Bull","низкий"
"Даг ""Кардан"" Милтон","cord","Cord","низкий"
"Тим ""Хоббит"" Хиллман","hobbit","Hobbit","низкий"
"Тим ""Рикошет"" Саттонн","ricochet","Ricochet","низкий"
"Тортон ""Мясо"" Джонс","meat","Meat","низкий"
"Карлос Дасуза","carlos","Carlos","низкий"
"Девин Коннелл","devin","Devin","низкий"
"Брием ""Шенк"" Друз","shank","Shank","низкий"
"Доктор Винсент ""Винс"" Воймонт(?)","vince","Vince","низкий"
"Ричард ""Убийца"" Рутвен","hitman","Hitman","низкий"
"Полковник Фредерик Биггенс","biggens","Biggens","низкий"
"Джон Кульба","kulba","Kulba","низкий"
"Леннарт ""Зануда"" Вильде","vilde","Vilde","низкий"
"Грациелла ""Грейс"" Джирелли","grace","Grace","низкий"
"Рудольф Штайгер","steiger","Steiger","низкий"
"Люк ""Лаки"" Фабр","lucky","Lucky","низкий"
"Доктор Лора Колин","laura","Laura","низкий"
"Эмиль ""Эскимо"" Кимос","eskimo","Eskimo","низкий"
"Стефан Ротман","","","средний"
"Доктор Дэниел ""Дэнни"" Квинтен","","","средний"
"Бифф Апскотт","","","Средний"
"Фрэнки ""Нервный"" Гордон","","","Средний"
"Флоренс ""Фло"" Габриель","","","средний"
"Джим ""Пума"" Уоллесс","","","средний"
"Мигель Кордона","","","средний"
"Грег ""Динамо"" Дункан","","","средний"
"Лейтенант Конрад Джиллет","","","средний"
"Гастон Кавалье","gaston","Gaston","средний"
"Лейтенант Хорг ""Сигара""","horg","Horg","средний"
"Мануэль.","manuel","Manuel","средний"
"Виктор ""Монк"" Колесников","monk","Monk","средний"
"Янно ""Знаток"" Аллик","allik","Allik","средний"
"Хеннинг фон Браниц","henning","Henning","средний"
"Жан-Пьер ""Злобный"" Вио","","","средний."
"Гамос","","","средний."
