sep=,
ID,Text,Translation,VoiceActor,Context
313477221859,Балумба Курукуку,,,ModItemUnitDataCompositeDef ThugBoss_Balumba Name
806300520980,Enforcer,,,ModItemUnitDataCompositeDef ThugEnforcer Name
169299033239,Tough Enforcer,,,ModItemUnitDataCompositeDef ThugEnforcer_Stronger Name
123943777379,Badass Enforcer,,,ModItemUnitDataCompositeDef ThugEnforcer_Stronger_Elite Name
856730692631,Badass Slasher,,,ModItemUnitDataCompositeDef ThugCutter_Stronger_Elite Name
876691514477,Tough Slasher,,,ModItemUnitDataCompositeDef ThugCutter_Stronger Name
944663926313,Slasher,,,ModItemUnitDataCompositeDef ThugCutter Name
927223711798,Советник,,,ModItemUnitDataCompositeDef ThugBoss_Stronger_Elite Name
317025941794,Командир,,,ModItemUnitDataCompositeDef ThugBoss_Stronger Name
641400217995,Командир,,,ModItemUnitDataCompositeDef ThugBoss Name
812831809650,Костоправ,,,ModItemUnitDataCompositeDef ThugGoon Name
765470374054,Штурмовик,,,ModItemUnitDataCompositeDef ThugGoon_Stronger Name
515735951720,Палач,,,ModItemUnitDataCompositeDef ThugGoon_Stronger_Elite Name
947641553708,Гренадёр,,,ModItemUnitDataCompositeDef ThugGrenadier Name
654442681700,Грабитель,,,ModItemUnitDataCompositeDef ThugGrenadier_Stronger Name
931285992937,Наемник Пулеметчик,,,ModItemUnitDataCompositeDef ThugGrenadier_Stronger_Elite Name
747716825453,Пуляло,,,ModItemUnitDataCompositeDef ThugGunner Name
548780115142,Коммандо,,,ModItemUnitDataCompositeDef ThugGunner_Stronger Name
347920605650,Гранатомётчик,,,ModItemUnitDataCompositeDef ThugGunner_Stronger_Elite Name
669687407644,Стрелок,,,ModItemUnitDataCompositeDef ThugSniper Name
376372530640,Снайпер,,,ModItemUnitDataCompositeDef ThugSniper_Stronger Name
290103631560,Рейнджер,,,ModItemUnitDataCompositeDef ThugSniper_Stronger_Elite Name
217901684853,Головорез,,,ModItemUnitDataCompositeDef JAZZ_Legion_AssaultT1_Roughneck Name
188332474737,Громила,,,ModItemUnitDataCompositeDef JAZZ_Legion_AssaultT1_Crusher Name
392427068113,Гренадёр,,,ModItemUnitDataCompositeDef JAZZ_Legion_AssaultT1_Grenadier Name
278695304484,Грабитель,,,ModItemUnitDataCompositeDef JAZZ_Legion_AssaultT2_Pillager Name
546032242947,Пироман,,,ModItemUnitDataCompositeDef JAZZ_Legion_AssaultT2_Pyro Name
176382444921,Штурмовик,,,ModItemUnitDataCompositeDef JAZZ_Legion_AssaultT2_ShockTrooper Name
243489839730,Череполом,,,ModItemUnitDataCompositeDef JAZZ_Legion_AssaultT3_SkullCrusher Name
437565517773,Каратель,,,ModItemUnitDataCompositeDef JAZZ_Legion_AssaultT3_Punisher Name
243489839730,Палач,,,ModItemUnitDataCompositeDef JAZZ_Legion_AssaultT4_Headsman Name
521007046314,Мародёр,,,ModItemUnitDataCompositeDef JAZZ_Legion_FrontT1_Marauder Name
239462113851,Стрелок,,,ModItemUnitDataCompositeDef JAZZ_Legion_FrontT1_Rifleman Name
397958642127,Костоправ,,,ModItemUnitDataCompositeDef JAZZ_Legion_FrontT1_Bonemaker Name
113948731495,Налётчик,,,ModItemUnitDataCompositeDef JAZZ_Legion_FrontT2_Raider Name
477554350185,Охотник,,,ModItemUnitDataCompositeDef JAZZ_Legion_FrontT2_Marksman Name
254157828912,Засадник,,,ModItemUnitDataCompositeDef JAZZ_Legion_FrontT2_Ambusher Name
918921277026,Ветеран,,,ModItemUnitDataCompositeDef JAZZ_Legion_FrontT3_Veteran Name
839107049203,Снайпер,,,ModItemUnitDataCompositeDef JAZZ_Legion_FrontT3_Sniper Name
918921277026,Наемник,,,ModItemUnitDataCompositeDef JAZZ_Legion_FrontT4_Mercenary Name
839107049203,Наемник снайпер,,,ModItemUnitDataCompositeDef JAZZ_Legion_FrontT4_MercenarySniper Name
620648651508,Дозорный,,,ModItemUnitDataCompositeDef JAZZ_Legion_FlankerT1_Warden Name
465277985554,Скаут,,,ModItemUnitDataCompositeDef JAZZ_Legion_FlankerT2_Scout Name
268314076234,Застрельщик,,,ModItemUnitDataCompositeDef JAZZ_Legion_FlankerT2_Skirmisher Name
973520781420,Разведчик,,,ModItemUnitDataCompositeDef JAZZ_Legion_FlankerT3_Recon Name
621106396948,Следопыт,,,ModItemUnitDataCompositeDef JAZZ_Legion_FlankerT3_Pathfinder Name
621106396948,Рейнджер,,,ModItemUnitDataCompositeDef JAZZ_Legion_FlankerT4_Ranger Name
663837406922,Пуляло,,,ModItemUnitDataCompositeDef JAZZ_Legion_GunnerT1_Gunner Name
602782802811,Пулемётчик,,,ModItemUnitDataCompositeDef JAZZ_Legion_GunnerT2_GMPG Name
431404906000,Коммандо,,,ModItemUnitDataCompositeDef JAZZ_Legion_GunnerT2_AssaultGunner Name
431404906000,Подавитель,,,ModItemUnitDataCompositeDef JAZZ_Legion_GunnerT3_VeteranGunner Name
431404906000,Наемник Пулеметчик,,,ModItemUnitDataCompositeDef JAZZ_Legion_GunnerT4_MercGunner Name
375592592463,Бригадир,,,ModItemUnitDataCompositeDef JAZZ_Legion_LeaderT1_Sergeant Name
786423367133,Командир,,,ModItemUnitDataCompositeDef JAZZ_Legion_LeaderT2_Lieutenant Name
641054948744,Советник,,,ModItemUnitDataCompositeDef JAZZ_Legion_LeaderT3_Captain Name
325500638329,Мастер,,,ModItemUnitDataCompositeDef JAZZ_Legion_LeaderT4_MercenaryCaptain Name
100080397822,Ракетчик,,,ModItemUnitDataCompositeDef JAZZ_Legion_HeavyT1_Rocketeer Name
164455308660,Гранатомётчик,,,ModItemUnitDataCompositeDef JAZZ_Legion_HeavyT2_Grenadier Name
339004978895,Миномётчик,,,ModItemUnitDataCompositeDef JAZZ_Legion_HeavyT3_Mortarman Name
372158959580,Телохранитель Пьера,,,ModItemUnitDataCompositeDef PierreGuard_Ordnance Name
325500638329,Босс,,,ModItemUnitDataCompositeDef ErnyVillage_Boss Name
769842154933,Телохранитель Пьера,,,ModItemUnitDataCompositeDef PierreGuard Name
896543881214,Сержант Разведчик,,,ModItemUnitDataCompositeDef ArmyCommando_Sergant Name
709132175659,Разведчик Сапер,,,ModItemUnitDataCompositeDef ArmyCommando_Demolution Name
709745548820,Разведчик Снайпер,,,ModItemUnitDataCompositeDef ArmyCommando_Sniper Name
587748488427,Диверсант,,,ModItemUnitDataCompositeDef ArmyCommando_Scout Name
168246114515,Штурмовик,,,ModItemUnitDataCompositeDef ArmyStormer Name
176781877425,Пехотинец,,,ModItemUnitDataCompositeDef ArmySoldier Name
993675719844,Элитный снайпер,,,ModItemUnitDataCompositeDef ArmySniper_Elite Name
244652104551,Снайпер,,,ModItemUnitDataCompositeDef ArmySniper Name
744568836971,Разведчик,,,ModItemUnitDataCompositeDef ArmyScout Name
921731331119,Гранатомётчик,,,ModItemUnitDataCompositeDef ArmyRPG Name
455354865085,Миномётчик,,,ModItemUnitDataCompositeDef ArmyMortar Name
630612071217,Санитар,,,ModItemUnitDataCompositeDef ArmyMedic Name
326116154029,Санитар Диверсант,,,ModItemUnitDataCompositeDef ArmyMedic_Elite Name
521261906810,Пулемётчик,,,ModItemUnitDataCompositeDef ArmyHeavy Name
379425092321,Элитный сапер,,,ModItemUnitDataCompositeDef ArmyDemo_Elite Name
193438542903,Сапёр,,,ModItemUnitDataCompositeDef ArmyDemo Name
288720109427,Старший Лейтенант,,,ModItemUnitDataCompositeDef ArmyCommander_Elite Name
332601359978,Лейтенант,,,ModItemUnitDataCompositeDef ArmyCommanderFemale Name
625064533501,Капитан,,,ModItemUnitDataCompositeDef ArmyCommander Name
649839486980,Лейтенант,,,ModItemUnitDataCompositeDef ArmyLeitenant Name
221620701735,Сержант,,,ModItemUnitDataCompositeDef ArmySergant Name
573011421504,Охранник,,,ModItemUnitDataCompositeDef CorazonGuard Name
717331783376,Капитан Альварез,,,ModItemUnitDataCompositeDef Adonis_CaptainAlvarez_Immortal Name
508029880368,Элитный штурмовик,,,ModItemUnitDataCompositeDef AdonisStormer_Elite Name
602956738625,Штурмовик,,,ModItemUnitDataCompositeDef AdonisStormer Name
521607646039,Элитный Тяжелый Штурмовик,,,ModItemUnitDataCompositeDef AdonisAssault_Elite Name
472771202525,Тяжелый Штурмовик,,,ModItemUnitDataCompositeDef AdonisAssault Name
137396517830,Элитный командир,,,ModItemUnitDataCompositeDef AdonisSquadLeader_Elite Name
717331783376,Командир,,,ModItemUnitDataCompositeDef AdonisSquadLeader Name
516378752870,Командир,,,ModItemUnitDataCompositeDef AdonisSquadLeader_Heavy Name
756841694440,Капрал,,,ModItemUnitDataCompositeDef AdonisSquadLeader_Corporal Name
475206078375,Сержант,,,ModItemUnitDataCompositeDef AdonisSquadLeader_Sergant Name
699493638756,Элитный тактический снайпер,,,ModItemUnitDataCompositeDef AdonisSniper_Elite Name
572327347455,Тактический снайпер,,,ModItemUnitDataCompositeDef AdonisSniper Name
502877891049,Эксперт-взрывотехник,,,ModItemUnitDataCompositeDef AdonisMortar Name
781673427808,Санитар,,,ModItemUnitDataCompositeDef AdonisMedic Name
595437803097,Пулеметчик,,,ModItemUnitDataCompositeDef AdonisHeavy Name
240327953184,Пулеметчик,,,ModItemUnitDataCompositeDef AdonisDedicatedGunner_Elite Name
836704980538,Элитный коммандос,,,ModItemUnitDataCompositeDef AdonisFlanker_Elite Name
221376860813,Коммандос,,,ModItemUnitDataCompositeDef AdonisFlanker Name
199825051946,Мастер-взрывотехник,,,ModItemUnitDataCompositeDef AdonisDemolitions_Elite Name
869728810732,Эксперт-взрывотехник,,,ModItemUnitDataCompositeDef AdonisDemolitions Name
770093869034,Стрелок,,,ModItemUnitDataCompositeDef AdonisSoldier Name
843953750983,Элитный стрелок,,,ModItemUnitDataCompositeDef AdonisSoldier_Elite Name
416911739915,Чемуренга,,,ModItemUnitDataCompositeDef Chimurenga Name
313818019736,Анна ла Митраёз,,,ModItemUnitDataCompositeDef AnneLeMitrailleur Name
641054948744,Контимир Бурда,,,ModItemUnitDataCompositeDef RebelSergeant_Immortal_M1 Name
818118807560,Лулумба Гуталин,,,ModItemUnitDataCompositeDef RebelSergeant_Immortal_L1 Name
325500638329,Призрак,,,ModItemUnitDataCompositeDef Rebel_NPC_Ghost Name
621106396948,Повстанец-Рейнджер,,,ModItemUnitDataCompositeDef Rebel_NPC_Ghost_Guards Name
641054948744,Командир отряда,,,ModItemUnitDataCompositeDef RebelSergant Name
641054948744,Командир отряда,,,ModItemUnitDataCompositeDef RebelSergeant Name
641054948744,Командир отряда,,,ModItemUnitDataCompositeDef RebelSergant_Immortal Name
641054948744,Командир отряда,,,ModItemUnitDataCompositeDef RebelSergeant_Immortal Name
973520781420,Диверсант,,,ModItemUnitDataCompositeDef RebelFlanker Name
176382444921,Диверсант_Подрывник,,,ModItemUnitDataCompositeDef RebelGrenadier Name
431404906000,Засадный пулеметчик,,,ModItemUnitDataCompositeDef RebelGunner Name
477554350185,Патрульный,,,ModItemUnitDataCompositeDef RebelSentry Name
839107049203,Снайпер,,,ModItemUnitDataCompositeDef RebelSniper Name
839107049203,Снайпер,,,ModItemUnitDataCompositeDef RebelSniper_female Name
918921277026,Повстанец,,,ModItemUnitDataCompositeDef RebelSoldier Name
164455308660,Гранатомётчик,,,ModItemUnitDataCompositeDef RebelRPG Name
339004978895,Миномётчик,,,ModItemUnitDataCompositeDef RebelHeavy_Mortar Name
164455308660,Гранатомётчик,,,ModItemUnitDataCompositeDef RebelRPG_Immortal Name
339004978895,Миномётчик,,,ModItemUnitDataCompositeDef RebelHeavy_Mortar_Immortal Name
273335796421,Ополченец,,,ModItemEnemyRole Default Militia DisplayName
369423334960,Новичок,,,ModItemUnitDataCompositeDef MilitiaRookie Name
789759429990,Опытный,,,ModItemUnitDataCompositeDef MilitiaVeteran Name
521013473391,Элита,,,ModItemUnitDataCompositeDef MilitiaElite Name
623794979175,Осадный отряд,,,ModItemEnemySquads JAZZ_Legion_VillaAttackers_L4 displayName
623794979175,Осадный отряд,,,ModItemEnemySquads JAZZ_Legion_VillaAttackers_L3 displayName
623794979175,Осадный отряд,,,ModItemEnemySquads JAZZ_Legion_VillaAttackers_L5 displayName
623794979175,Осадный отряд,,,ModItemEnemySquads JAZZ_Legion_VillaAttackers_K5 displayName
623794979175,Осадный отряд,,,ModItemEnemySquads JAZZ_Legion_VillaAttackers_K3 displayName
614304015048,Охранение лагеря,,,ModItemEnemySquads JAZZ_Legion_SentrySquad_AroundVilla displayName
463858834011,Штурмовики Легиона,,,ModItemEnemySquads LegionAttackers_Balanced_Easy_Assault displayName
746426158957,Отряд Легиона,,,ModItemEnemySquads LegionHeavyTroops displayName
978320603185,Legion Attack Squad,,,ModItemEnemySquads LegionAttackers_Marksmen_Easy displayName
201132567256,Legion Squad,,,ModItemEnemySquads LegionDefenders_Mobile_Easy displayName
465176557843,Штурмовики Легиона,,,ModItemEnemySquads LegionAttackers_JazzBalanced_Easy_Assault displayName
629563996275,Heavy Legion Outpost Defenders,,,ModItemEnemySquads LegionExtraDefenders_Marksmen_Hard displayName
442187410309,Тяжелый Отряд Легиона,,,ModItemEnemySquads LegionHeavyTroops_Gunners displayName
954364632652,Гарнизон Легиона,,,ModItemEnemySquads FortressDefenders displayName
323511335269,Гарнизон Ло Блё,,,ModItemEnemySquads FortressDefenders_NoMaps displayName
676216529798,Штурмовики Легиона,,,ModItemEnemySquads LegionDefenders_Shooters_Easy displayName
114586522565,Штурмовики Легиона,,,ModItemEnemySquads LegionDefenders_Shooters_Easy_Ernie displayName
701157196231,Армейский Спецназ,,,ModItemEnemySquads ArmySpecOps displayName
391984240592,Армейский Спецназ,,,ModItemEnemySquads ArmySpecOps_alt displayName
178720739297,Гранатометное усиление,,,ModItemEnemySquads ArmyIfantry_Support displayName
307810354279,Усиление Пулеметчиков,,,ModItemEnemySquads ArmyIfantry_Support_MG displayName
960739752933,Усиление Пулеметчиков,,,ModItemEnemySquads ArmyIfantry_Support_Sniper displayName
788428589380,Усиление Пулеметчиков,,,ModItemEnemySquads ArmyIfantry_Support_Shooter displayName
879717894619,Армейский взвод,,,ModItemEnemySquads ArmyAttackers_Balanced_Hard displayName
530213193898,Армейский взвод,,,ModItemEnemySquads ArmyAttackers_Balanced_Alt displayName
369037458150,Автоматический огонь,,,ModItemAIArchetype TheMajor NotificationText
915847985105,Автоматический огонь,,,ModItemAIArchetype TheMajor NotificationText
373468043087,Автоматический огонь,,,ModItemAIArchetype Berserk NotificationText
719729545787,Автоматический огонь,,,ModItemAIArchetype Turret NotificationText
102086394463,Автоматический огонь,,,ModItemAIArchetype Grenadier NotificationText
730263043731,Full Auto,,,ModItemAIArchetype Soldier_old NotificationText
496511088531,Доктор Ливси,,,ModItemUnitDataCompositeDef Doctor_Leevsy Name
291907236404,Берриман Сил,,,ModItemUnitDataCompositeDef Merc_BarrySeal Name
817805811528,Пилот,,,ModItemUnitDataCompositeDef Merc_BarrySeal Nick
567246704413,ПИЛОТ,,,ModItemUnitDataCompositeDef Merc_BarrySeal AllCapsNick
316915090294,"Бывший военный, который волей судьбы стал контрабандистом, участвовал в уничтожении режима Кастро на кубе, не подпускайте его близко к Фиделю. На данный момент Барри контрабандист, который вёз нас для выполнения контракта, всех его друзей убили при высадке, да и он сам чуть не погиб, теперь он присоединился к A.I.M.",,,ModItemUnitDataCompositeDef Merc_BarrySeal Bio
967900698879,"Барриман ""Пилот"" Сил",,,ModItemUnitDataCompositeDef Merc_BarrySeal Title
844599512838,Barry_Smugler@yandex.com,,,ModItemUnitDataCompositeDef Merc_BarrySeal Email
638265936693,Пилот,,,ModItemUnitDataCompositeDef Merc_BarrySeal snype_nick
617254997265,Приказывай Босс,,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal Selection VoiceResponse Selection - when selected or autoselected 
707700625892,"Если мы не найдём транспорт, я начну смотреть на деревья как на посадочные площадки",,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal Selection VoiceResponse Selection - when selected or autoselected 
135932071649,План с воздуха выглядит проще. С земли - как лотерея с пулями,,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal Selection VoiceResponse Selection - when selected or autoselected 
900043784462,Тишина - мой старый друг. В небе она бывает только в кабине... когда двигатель выключен,,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal SelectionStealth VoiceResponse SelectionStealth - when selected or autoselected 
514280209635,"Если не шуметь - можно услышать, как другие сами себя выдают",,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal SelectionStealth VoiceResponse SelectionStealth - when selected or autoselected 
349823059626,"Пехота топает, как стадо. Я хожу, как пилот на чужой базе",,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal SelectionStealth VoiceResponse SelectionStealth - when selected or autoselected 
194060943538,Тише... Здесь эхо - худший предатель,,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal SelectionStealth VoiceResponse SelectionStealth - when selected or autoselected 
993170256470,Я бы спрятался там. Ветер в лицо - запах не унесёт,,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal OverwatchSelection VoiceResponse OverwatchSelection - Selected when under Overwatch. 
654136216360,Я держу этот участок. Если что-то шевельнётся - узнаю первым,,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal OverwatchSelection VoiceResponse OverwatchSelection - Selected when under Overwatch. 
218806644175,Они идут... Как стадо в узком коридоре. Легко будет срезать,,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal OverwatchSelection VoiceResponse OverwatchSelection - Selected when under Overwatch. 
126202971861,"Граната? Я видел и похуже. Например, когда бак пробило на взлёте",,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal ThreatSelection VoiceResponse ThreatSelection - Selected when under Pinned Down or in the area of an incoming explosion. 
381661751402,После такого грохота даже мёртвые встанут... или разлетятся,,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal ThreatSelection VoiceResponse ThreatSelection - Selected when under Pinned Down or in the area of an incoming explosion. 
323249741812,"Ещё один такой „фейерверк"" - и нам придётся копать окопы глубже",,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal ThreatSelection VoiceResponse ThreatSelection - Selected when under Pinned Down or in the area of an incoming explosion. 
555123787114,Животные... В этих джунглях даже звери хотят нас убить,,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal AnimalFound VoiceResponse AnimalFound - Enemy animal spotted. 
754182147566,"Смотри-ка, местные жители. И они явно не рады гостям",,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal AnimalFound VoiceResponse AnimalFound - Enemy animal spotted. 
638419002772,"Звери - это ещё полбеды. Хуже, когда они ведут за собой охотников",,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal AnimalFound VoiceResponse AnimalFound - Enemy animal spotted. 
788485574959,Эти твари всегда ходят стаей. Если одна тут - скоро будет десяток,,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal AnimalFound VoiceResponse AnimalFound - Enemy animal spotted. 
736336478739,Вот это выстрел! Зверь и опомниться не успел,,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal OpponentKilledAnimal VoiceResponse OpponentKilledAnimal - When animal is killed 
141916904054,"Ты его уложил, как профессионал. В небе я так же точно выхожу на цель",,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal OpponentKilledAnimal VoiceResponse OpponentKilledAnimal - When animal is killed 
741379309876,"Если бы все звери так легко сдавались, джунгли стали бы курортом",,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal OpponentKilledAnimal VoiceResponse OpponentKilledAnimal - When animal is killed 
425385674976,"Чисто. Ни звука, ни следа. Как в лучших домах",,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal OpponentKilledStealth VoiceResponse OpponentKilledStealth - Played when a Stealth kill happens. Voice should be shushed (except Steroid) 
752524055707,"Без шума, без пыли. Вот это работа",,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal OpponentKilledStealth VoiceResponse OpponentKilledStealth - Played when a Stealth kill happens. Voice should be shushed (except Steroid) 
143658772175,Тишина - лучший свидетель. Ты это знаешь,,Merc_BarrySeal,ModItemVoiceResponse Merc_BarrySeal OpponentKilledStealth VoiceResponse OpponentKilledStealth - Played when a Stealth kill happens. Voice should be shushed (except Steroid) 
253932060437,Руди Робертс «Рысь»,,,ModItemUnitDataCompositeDef Jazz_Lynx Name
590235542352,Рысь,,,ModItemUnitDataCompositeDef Jazz_Lynx Nick
962640753793,РЫСЬ,,,ModItemUnitDataCompositeDef Jazz_Lynx AllCapsNick
789208109513,"""У всех проблем одно начало - сидела женщина, скучала"". Жизнь Руди Робертса до его работы в Организации была лишена каких-то потрясений и шла как по накатанной. Охота на исчезающие виды животных, немногочисленные заказы на исчезновение людей - рутина. Ну, на ""Длинную милю"" раз в год съездит, но и там уже почти не осталось вызовов. И так было, пока после задания на Метавире, он не закрутил роман с новобранцем организации Луизой Гарно. (Презрев древнее правило - не ешь, там где гадишь). Сюрпризом оказалось наличие у Луизы маниакально-депрессивного расстройства личности в тяжелой форме, так-то, требующего принудительного лечения в соответствующем учреждении. А лечения Луиза избегала благодаря связям своего влиятельного папаши-генерала. Да и будем честны, кто в здравом уме сможет принудить Тоску к чему то, чего она сама не хочет? Так что теперь жизнь Рыси полна развлечений, в первую очередь связанных с поиском уголка Земли, в котором Тоска не сможет до него добраться.",,,ModItemUnitDataCompositeDef Jazz_Lynx Bio
741570005839,Известен не за красивые глаза,,,ModItemUnitDataCompositeDef Jazz_Lynx Title
815740499368,Lynx@aim.com,,,ModItemUnitDataCompositeDef Jazz_Lynx Email
494150854420,Iseeyou,,,ModItemUnitDataCompositeDef Jazz_Lynx snype_nick
815923858149,"Слушай, я люблю рисковать - в разумных пределах. Подписать контракт с тобой это все равно, что подписать себе смертный приговор.",,Jazz_Lynx,ModItemUnitDataCompositeDef Jazz_Lynx Text MercChatRefusal Lines ChatMessage 
178898076800,"Извини, эту неделю я занят в Обществе содействия пожарным. Знаешь, обычно я могу сам планировать свое расписание, но только если предупредить меня заблаговременно, угу?",,Jazz_Lynx,ModItemUnitDataCompositeDef Jazz_Lynx Text MercChatRefusal Lines ChatMessage 
283654937572,"Э-э-э... Знаешь, мы ведь как договаривались - деньги на бочку, правда? Что-то я их здесь не вижу!",,Jazz_Lynx,ModItemUnitDataCompositeDef Jazz_Lynx Text MercChatRefusal Lines ChatMessage 
754225917996,"Нет, не пойдет. Мне такое ни к чему - ни уму, ни сердцу, ясно? Извини.",,Jazz_Lynx,ModItemUnitDataCompositeDef Jazz_Lynx Text MercChatRefusal Lines ChatMessage 
461382179970,"Я скоро возвращаюсь домой - просто, чтобы ты об этом знал. ",,Jazz_Lynx,ModItemUnitDataCompositeDef Jazz_Lynx Text MercChatRefusal Lines ChatMessage 
893692526058,"Нет. Работать с Тоской я не буду. Стоит отвернуться, и она всадит тебе нож в спину. Уж можешь мне поверить. От нее ничего, кроме неприятностей. Только и знает, что поливать меня грязью.",,Jazz_Lynx,ModItemUnitDataCompositeDef Jazz_Lynx Text MercChatRefusal Lines ChatMessage 
840672720529,"Мне придется слегка поднять расценки. Я стал опытнее, понимаешь? Все равно это могло бы стоить и больше - просто не хочу тебя пугать.",,Jazz_Lynx,ModItemUnitDataCompositeDef Jazz_Lynx Text MercChatHaggle Lines ChatMessage 
654982270798,"Ну что ж, это никак не назовешь ""идеальными условиями"", но, раз это дает шанс работать с Айсом - я иду с вами.",,Jazz_Lynx,ModItemUnitDataCompositeDef Jazz_Lynx Text MercChatMitigation Lines ChatMessage 
624911492248,"Я бы предложил тебе присмотреться к Айсу Вильямсу. Он - парень, что надо.",,Jazz_Lynx,ModItemUnitDataCompositeDef Jazz_Lynx Text MercChatBranch Lines ChatMessage 
