sep=,
ID,Text,Translation,VoiceActor,Context
100080397822,Ракетчик,Ракетчик,,jazz-units:items.lua:43368 | jazz-units:UnitData/JAZZ_Legion_HeavyT1_Rocketeer.lua:21
102086394463,Автоматический огонь,Автоматический огонь,,jazz-units:items.lua:59190
102139743828,пыхтит,(пыхтит),,jazz-units:items.lua:68951
102593759252,кашляет,кашляет,,jazz-units:items.lua:70005
102970979232,"Ого! Господи, что со мной могло случится!","Ого! Господи, что со мной могло случиться!",,jazz-units:items.lua:70217
103474241264,"Вот черт! Я, конечно, терпеть не могла Монику, но уж точно не желала ей смерти. И уж точно не хотела убивать ее сама! Записываю время смерти...","Вот черт! Я, конечно, терпеть не могла Монику, но уж точно не желала ей смерти. И уж точно не хотела убивать ее сама! Записываю время смерти...",,jazz-units:items.lua:70048
105784329687,Пистон,Пистон,,jazz-units:Code/Mercenary.lua:143
107713982322,"Все-таки, книжки это одно, а вот опыт, это совсем другое дело.","Всё-таки книжки — это одно, а опыт — совсем другое дело.",,jazz-units:items.lua:71026
107870618922,Боль непереносима.,Боль непереносима.,,jazz-units:items.lua:70186
109651245516,"Ещё не вечер! Можно уже жахнуть, командир?","Ещё не вечер! Можно уже жахнуть, командир?",,jazz-units:items.lua:70665
109699413644,"И что такой парень, как я, может делать в таком месте? Да это ж бред собачий!","И что такой парень, как я, может делать в таком месте? Да это ж бред собачий!",,jazz-units:items.lua:69102
110929798318,БК на исходе.,БК на исходе.,,jazz-units:items.lua:70610
111872647333,"Полагаю, не мешало бы продумать все это получше.","Полагаю, не мешало бы продумать все это получше.",,jazz-units:items.lua:69903
111936767427,"Я снова с вами, свеж, бодр и относительно цел!","Я снова с вами, свеж, бодр и относительно цел!",,jazz-units:items.lua:70738
112256418640,"Люблю, когда мне уделяют столько внимания.","Люблю, когда мне уделяют столько внимания.",,jazz-units:items.lua:69602
113050924217,"Считай, свелся. Командуй ""огонь"", братан.","Считай, свелся. Командуй ""огонь"", братан.",,jazz-units:items.lua:70594
113948731495,Налётчик,Налётчик,,jazz-units:items.lua:40634 | jazz-units:UnitData/JAZZ_Legion_FrontT2_Raider.lua:22
114586522565,Штурмовики Легиона,Штурмовики Легиона,,jazz-units:items.lua:53126
115039977738,Че-то какие-то приколы тут развешаны.,Чё это за странные штуки тут развешаны?,,jazz-units:items.lua:70760
118410023717,Век живи - век учись!,Век живи — век учись!,,jazz-units:items.lua:70054
119369941249,"Гммммм... Разве здесь все, что мы заказывали? ","Гммммм... Разве здесь все, что мы заказывали? ",,jazz-units:items.lua:69138
120260566033,Кхм. Я сказал...,Кхм. Я сказал...,,jazz-units:items.lua:69014
120287195956,А чего от них еще ожидать!,А чего от них еще ожидать!,,jazz-units:items.lua:69553
122264591303,Нужен медик...,Нужен медик...,,jazz-units:items.lua:70746
124003637664,Слышал странный звук.,Слышал странный звук.,,jazz-units:items.lua:69126
124030261247,"Тут или наших маловато, или ихних многовато...","Тут или наших маловато, или ихних многовато...",,jazz-units:items.lua:70811
124509637581,Вебер,Вебер,,jazz-units:Code/Mercenary.lua:78
126127451344,Хреново!,Хреново!,,jazz-units:items.lua:69547
126202971861,"Граната? Я видел и похуже. Например, когда бак пробило на взлёте","Граната? Я видел и похуже. Например, когда бак пробило на взлёте",,jazz-units:items.lua:68589
127238942497,Харпер,Харпер,,jazz-units:Code/Mercenary.lua:46
129078279066,Всего лишь десять процентов удачи и девяносто процентов моей убойной харизмы.,Всего лишь десять процентов удачи и девяносто процентов моей убойной харизмы.,,jazz-units:items.lua:70805
129657430584,Стоун,Стоун,,jazz-units:Code/Mercenary.lua:118
131072494107,"Ну как-бы, вроде все, всех посчитали.","Ну, вроде всё. Всех посчитали.",,jazz-units:items.lua:70645
131463743436,Чего-то я замотался. Надо стенку подпереть.,Чего-то я замотался. Надо стенку подпереть.,,jazz-units:items.lua:70706
132305200292,Да ты шутишь!,Да ты шутишь!,,jazz-units:items.lua:69387
135932071649,План с воздуха выглядит проще. С земли - как лотерея с пулями,С воздуха план выглядит проще. На земле — как лотерея с пулями.,,jazz-units:items.lua:68580
136635798005,Взрываем?,Взрываем?,,jazz-units:items.lua:70959
139409181422,Тяжелое дыхание,Тяжелое дыхание,,jazz-units:items.lua:70750
141058614304,"Я слишком сильно утомлена, чтобы продолжать работу.","Я слишком сильно утомлена, чтобы продолжать работу.",,jazz-units:items.lua:70223
141311750958,"Опаньки, тут для меня есть работенка. Лежит, кушать не просит...","Опаньки, тут для меня есть работенка. Лежит, кушать не просит...",,jazz-units:items.lua:70829
141916904054,"Ты его уложил, как профессионал. В небе я так же точно выхожу на цель","Ты его уложил, как профессионал. В небе я так же точно выхожу на цель",,jazz-units:items.lua:68564
143658772175,Тишина - лучший свидетель. Ты это знаешь,Тишина — лучший свидетель. Ты это знаешь.,,jazz-units:items.lua:68570
144141204511,Взяла!,Взяла!,,jazz-units:items.lua:70131
145667150510,"Прости, командир, я не спецом.","Прости, командир, я не спецом.",,jazz-units:items.lua:70835
147878975531,Хм-м,Хм-м,,jazz-units:items.lua:70976
147923369701,"Ниже пояса всё целое, жить будешь!","Ниже пояса всё целое, жить будешь!",,jazz-units:items.lua:70622
148527902634,Картер,Картер,,jazz-units:Code/Mercenary.lua:54
148583031817,"бежит, дышит","(бежит, тяжело дышит)",,jazz-units:items.lua:70019
149864170243,"Айс, Братан, братиш, нет! Сука! Пизда вам, жирафьи выблядки, со стен соскребать со штукатуркой будут.","Айс, Братан, братиш, нет! Сука! Пизда вам, жирафьи выблядки, со стен соскребать со штукатуркой будут.",,jazz-units:items.lua:70687
150379284613,Аул,Аул,,jazz-units:Code/Mercenary.lua:149
150639393097,"Ты хочешь, чтобы я еще осталась, или как?","Ты хочешь, чтобы я ещё осталась, или как?",,jazz-units:items.lua:69320 | jazz-units:UnitData/Jazz_Buzz.lua:167
151644631553,"Парни, время доставать самые большие пушки!","Парни, время доставать самые большие пушки!",,jazz-units:items.lua:70908
151665864036,"Мне нужна помощь, неотложно!","Мне нужна помощь, неотложно!",,jazz-units:items.lua:70193
152493018567,Бишоп,Бишоп,,jazz-units:Code/Mercenary.lua:103
152608247986,Понял!,Понял!,,jazz-units:items.lua:69044
153980462714,Мёрк,Мёрк,,jazz-units:Code/Mercenary.lua:156
155611659517,"Послушай. Я не знал, что ты собираешься влючать Тоску в команду. Тут через минуту духа моего бы не было, если бы я так не заботился о своей репутации. Мой тебе совет: держи ее от меня подальше!","Послушай. Я не знал, что ты собираешься включать Тоску в команду. Тут через минуту духа моего бы не было, если бы я так не заботился о своей репутации. Мой тебе совет: держи её от меня подальше!",,jazz-units:items.lua:68912
156206279384,"Иди, дам тебе валерьяночки!","Иди, дам тебе валерьяночки!",,jazz-units:items.lua:69605
157892640315,Роуг,Роуг,,jazz-units:Code/Mercenary.lua:182
162678461029,Давайте его кастрируем? Чтоб больше не шлялся.,Давайте его кастрируем? Чтоб больше не шлялся.,,jazz-units:items.lua:69622
162767570479,"Есть, начальник! Правда, мне интересно, как это получится.","Есть, начальник! Правда, мне интересно, как это получится.",,jazz-units:items.lua:68885
164455308660,Гранатомётчик,Гранатомётчик,,jazz-units:items.lua:43466 | jazz-units:items.lua:49824 | jazz-units:items.lua:50029 | jazz-units:UnitData/JAZZ_Legion_HeavyT2_Grenadier.lua:21 | jazz-units:UnitData/RebelRPG.lua:21 | jazz-units:UnitData/RebelRPG_Immortal.lua:21
165148802231,Рысь! Что случилось?,Рысь! Что случилось?,,jazz-units:items.lua:68740
165619259527,"Ну чо, трафареты! Мама вас к такому не готовила!","Ну чо, трафареты! Мама вас к такому не готовила!",,jazz-units:items.lua:70670
165681713241,"Извини, я тут играю в Большого Брата. Просто делаю то, что должен, понимаешь?","Извини, я тут играю в Большого Брата. Просто делаю то, что должен, понимаешь?",,jazz-units:items.lua:69105
167287521495,"Мля, Майор Спайк, я охуенно рад, что ты теперь на нашей стороне. ","Мля, Майор Спайк, я охуенно рад, что ты теперь на нашей стороне. ",,jazz-units:items.lua:70940
168247136303,"Я - профессионал. Просто покажи, в кого стрелять.","Я — профессионал. Просто покажи, в кого стрелять.",,jazz-units:items.lua:69383
169899515205,"Это - работа. Так к ней и относитесь. А то тут есть бездельники, которые полагают, что за приключениями пришли.","Это - работа. Так к ней и относитесь. А то тут есть бездельники, которые полагают, что за приключениями пришли.",,jazz-units:items.lua:69079
169962128097,Батя в здании.,Батя в здании.,,jazz-units:items.lua:70957
170093331856,"Да уж, тут и уха целого не найдешь.","Да уж, тут и уха целого не найдешь.",,jazz-units:items.lua:69586
170534982613,Слит,Слит,,jazz-units:Code/Mercenary.lua:175
172629795100,"Я стараюсь не допускать эмоций, когда убиваю, но... если честно... Это было просто здорово!","Я стараюсь не допускать эмоций, когда убиваю, но... если честно... Это было просто здорово!",,jazz-units:items.lua:68958
174966595975,Зачем мне все это барахло? Дайте мне трубочку для плевания и фанерку - загораживаться! Куда полезнее будет.,Зачем мне все это барахло? Дайте мне трубочку для плевания и фанерку - загораживаться! Куда полезнее будет.,,jazz-units:items.lua:68945
176574496642,Алексей Иванов,Алексей Иванов,,jazz-units:items.lua:70270 | jazz-units:UnitData/JAZZ_Ivanov.lua:19
176578784013,"Вот вам и Рысь, вашу мамашу!","Вот вам и Рысь, вашу мамашу!",,jazz-units:items.lua:79598
178720739297,Гранатометное усиление,Гранатометное усиление,,jazz-units:items.lua:56622
178898076800,"Извини, эту неделю я занят в Обществе содействия пожарным. Знаешь, обычно я могу сам планировать свое расписание, но только если предупредить меня заблаговременно, угу?","Извини, эту неделю я занят в Обществе содействия пожарным. Знаешь, обычно я могу сам планировать свое расписание, но только если предупредить меня заблаговременно, угу?",,jazz-units:items.lua:68647
182815571901,"""Фраг"", слушаю.","""Фраг"", слушаю.",,jazz-units:items.lua:70958
183507962431,Даст,Даст,,jazz-units:Code/Mercenary.lua:114
183777024912,"Вы были талантливейшим доктором, фройляйн Паук. Ваша грация под шквальным огнем, ваши быстрые пальцы, ваше душевное тепло... Мне остается только надеяться, что когда-нибудь я смогу сравниться с вами. Храни вас господь. ","Вы были талантливейшим доктором, фройляйн Паук. Ваша грация под шквальным огнем, ваши быстрые пальцы, ваше душевное тепло... Мне остается только надеяться, что когда-нибудь я смогу сравниться с вами. Храни вас господь. ",,jazz-units:items.lua:78688
187482808739,Доктор Хьюстон.,Доктор Хьюстон.,,jazz-units:items.lua:70178
188332474737,Громила,Громила,,jazz-units:items.lua:39309 | jazz-units:UnitData/JAZZ_Legion_AssaultT1_Crusher.lua:21
188581782749,"Черт. Руди же не мог сделать этого случайно. Это такой намек, чтоб я укрытие занял, точно.","Черт. Руди же не мог сделать этого случайно. Это такой намек, чтоб я укрытие занял, точно.",,jazz-units:items.lua:79434
189026777382,Немного везения мне бы сейчас никак не помешало!,Немного везения мне бы сейчас никак не помешало!,,jazz-units:items.lua:68977
190301337760,"Пару грамм пластика в замок, да? Да?","Пару грамм пластика в замок, да? Да?",,jazz-units:items.lua:70699
190753426804,Коул,Коул,,jazz-units:Code/Mercenary.lua:125
192507634851,Триггер,Триггер,,jazz-units:Code/Mercenary.lua:99
194060943538,Тише... Здесь эхо - худший предатель,Тише... Здесь эхо — худший предатель.,,jazz-units:items.lua:68586
194072583019,Дарт,Дарт,,jazz-units:Code/Mercenary.lua:162
194125837412,"Вот так! Знаешь, а мы отлично справились. Ничто не сравнится с женщиной, у которой в руках винтовка, я тебе скажу. Ад не знает ярости! Не забывай.","Вот так! Знаешь, а мы отлично справились. Ничто не сравнится с женщиной, у которой в руках винтовка, я тебе скажу. Ад не знает ярости! Не забывай.",,jazz-units:items.lua:69424
196405827903,Ламберт,Ламберт,,jazz-units:Code/Mercenary.lua:70
198249711216,"Чо, брат, думаешь, ебанет? Да не, не должно.","Чо, брат, думаешь, ебанет? Да не, не должно.",,jazz-units:items.lua:70819
199449552302,Опять они!,Опять они!,,jazz-units:items.lua:69017
200362931034,Следующая задача?,Следующая задача?,,jazz-units:items.lua:69892
202028848843,"Всё... Накрылось, мать его вэдэшку.","Всё... Накрылось, мать его вэдэшку.",,jazz-units:items.lua:71036
205050620277,"Не представляю, как можно это сделать. Как врач, я стараюсь уважать чужую жизнь, насколько это возможно при такой работе, конечно. Судя по вашей биографии, вы придерживаетесь другой философии. Я очень разборчива когда дело доходит до контракта. Вы для меня слегка... вульгарны, пожалуй.","Не представляю, как можно это сделать. Как врач, я стараюсь уважать чужую жизнь, насколько это возможно при такой работе, конечно. Судя по вашей биографии, вы придерживаетесь другой философии. Я очень разборчива когда дело доходит до контракта. Вы для меня слегка... вульгарны, пожалуй.",,jazz-units:items.lua:69764 | jazz-units:UnitData/Jazz_Spider.lua:59
206446981168,Я пустой!,Я пустой!,,jazz-units:items.lua:70861
207048313891,"Не представляю, как можно это сделать. Как врач, я стараюсь уважать чужую жизнь, насколько это возможно при такой работе, конечно. Судя по вашей биографии, вы придерживаетесь другой философии. Я очень разборчива когда дело доходит до контракта. Вы для меня слегка... вульгарны, пожалуй.","Не представляю, как можно это сделать. Как врач, я стараюсь уважать чужую жизнь, насколько это возможно при такой работе, конечно. Судя по вашей биографии, вы придерживаетесь другой философии. Я очень разборчива когда дело доходит до контракта. Вы для меня слегка... вульгарны, пожалуй.",,jazz-units:items.lua:69777 | jazz-units:UnitData/Jazz_Spider.lua:72
207134300660,че?,Чё?,,jazz-units:items.lua:70190
208359484899,Чуждые элементы!,Чуждые элементы!,,jazz-units:items.lua:70110
209094011789,В стороны!,В стороны!,,jazz-units:items.lua:71015
209534781642,Мейс,Мейс,,jazz-units:Code/Mercenary.lua:129
212967091229,Вы откуда это взяли? На распродаже? Не работает!,Вы откуда это взяли? На распродаже? Не работает!,,jazz-units:items.lua:69693
213709547831,Буллет,Буллет,,jazz-units:Code/Mercenary.lua:139
214018072550,"Скажи мне это в лицо, мля, если ты мужчина!","Скажи мне это в лицо, мля, если мужик!",,jazz-units:items.lua:70893
214311297685,"Я работаю. Не мешайте. Ходют тут, ходют, а потом пластик пропадает.","Я работаю. Не мешайте. Ходют тут, ходют, а потом пластик пропадает.",,jazz-units:items.lua:70629
214745093796,"Думаю, прервав эту жизнь, я сохранила много других.","Думаю, прервав эту жизнь, я сохранила много других.",,jazz-units:items.lua:70119
217901684853,Головорез,Головорез,,jazz-units:items.lua:39174 | jazz-units:UnitData/JAZZ_Legion_AssaultT1_Roughneck.lua:22
217996558203,Уф-ф сука,Уф-ф сука,,jazz-units:items.lua:70922
218806644175,Они идут... Как стадо в узком коридоре. Легко будет срезать,Они идут... Как стадо в узком коридоре. Легко будет срезать.,,jazz-units:items.lua:68575
219342036908,"Делай, как я!","Делай, как я!",,jazz-units:items.lua:70731
221163366923,"Ой, мля. Братан, как его теперь мамке-то отправлять?","Ой, мля. Братан, как его теперь мамке-то отправлять?",,jazz-units:items.lua:70886
221166180370,"Видали? Айс знает, что почем!","Видали? Айс знает, что почем!",,jazz-units:items.lua:69070
221620701735,Сержант,Сержант,,jazz-units:items.lua:45183 | jazz-units:UnitData/ArmySergant.lua:20
224504835002,А чего от них еще ожидать!,А чего от них еще ожидать!,,jazz-units:items.lua:69666
226419811457,Ща б пивка холодненького...,Ща б пивка холодненького...,,jazz-units:items.lua:70904
226755462734,Меня прижали!,Меня прижали!,,jazz-units:items.lua:70914
